btc;1;17465;ADWIN;increase_lr_only;16;16;4092010310.4957304;59567.25244474638;59194.9541054242;100;100
btc;1;17465;ADWIN;increase_lr_only;16;32;4067936414.784114;59398.98392255435;59028.58939982234;100;100
btc;1;17465;ADWIN;increase_lr_only;16;64;4011968418.9397674;59005.59543580163;58639.63947992185;100;100
btc;1;17465;ADWIN;increase_lr_only;32;16;4097754625.2849193;59615.93002556266;59242.90982820836;100;100
btc;1;17465;ADWIN;increase_lr_only;32;32;4068407132.8556185;59410.95357389916;59040.26019797224;100;100
btc;1;17465;None;Baseline;16;16;4104158700.461459;59652.087572124095;59278.83725406005;100;100
btc;1;17465;ADWIN;increase_lr_only;32;64;4028395102.3130846;59130.02583601094;58762.50674916556;100;100
btc;1;17465;None;Baseline;16;32;4090641335.9527764;59557.654424252716;59185.46206937002;100;100
btc;1;17465;None;Baseline;16;64;4074552849.708293;59445.19053985507;59074.26739936744;100;100
btc;1;17465;None;Baseline;32;16;4103253123.293065;59654.46804474894;59281.02468098846;100;100
btc;1;17465;ADWIN;increase_lr_only;64;16;4098669099.458652;59639.87084850235;59266.284278741165;100;100
btc;1;17465;None;Baseline;32;32;4095069017.4157057;59597.18591270345;59224.37734446703;100;100
btc;1;17465;ADWIN;increase_lr_only;64;32;4061321578.2302165;59378.744582752006;59008.11905374961;100;100
btc;1;17465;None;Baseline;32;64;4072344297.8663454;59438.41262457207;59067.402129424976;100;100
btc;1;17465;ADWIN;increase_lr_only;64;64;4042766954.083099;59248.61377923897;58879.467992477985;100;100
btc;1;17465;None;Baseline;64;16;4110946806.029079;59725.779947462506;59351.24120616721;100;100
btc;1;17465;ADWIN;increase_and_decay_lr;16;16;4100196490.0461917;59624.41705072464;59251.47507983087;100;100
btc;1;17465;ADWIN;increase_and_decay_lr;16;32;4092838753.8247466;59573.142941689315;59200.78230597921;100;100
btc;1;17465;ADWIN;increase_and_decay_lr;16;64;4060246286.0844746;59345.04653362772;58975.25101892927;100;100
btc;1;17465;None;Baseline;64;32;4094730801.1815414;59612.50007868362;59239.230923891766;100;100
btc;1;17465;ADWIN;increase_and_decay_lr;32;16;4103433869.774336;59655.84649292006;59282.39398574632;100;100
btc;1;17465;None;Baseline;64;64;4082668171.526694;59528.19147074105;59155.87426436519;100;100
btc;1;17465;ADWIN;increase_and_decay_lr;32;32;4090023097.858085;59562.13840645671;59189.733597245526;100;100
eth;1;17464;None;Baseline;16;16;6612864.978414431;2484.6373758731256;2476.897520874247;100;100
btc;1;17465;ADWIN;increase_and_decay_lr;32;64;4059005760.3267365;59345.06276462498;58975.106088981745;100;100
eth;1;17464;None;Baseline;16;32;6195229.428652281;2402.6112530244054;2395.7860375307723;100;100
eth;1;17464;None;Baseline;16;64;5547917.462237792;2267.7902899863816;2262.482473440752;100;100
eth;1;17464;None;Baseline;32;16;6662332.174843678;2494.141001800801;2486.3128125495787;100;100
btc;1;17465;ADWIN;increase_and_decay_lr;64;16;4105174761.211425;59685.41483832276;59311.32028084772;100;100
eth;1;17464;None;Baseline;32;32;6336506.597500287;2430.7540178083677;2423.637002035476;100;100
btc;1;17465;ADWIN;increase_and_decay_lr;64;32;4097796683.0412045;59633.98170986204;59260.46957004088;100;100
eth;1;17464;None;Baseline;32;64;5514706.333173187;2260.9787121679074;2255.773977079212;100;100
btc;1;17465;ADWIN;increase_and_decay_lr;64;64;4087498244.200218;59562.12193417735;59189.424413243134;100;100
eth;1;17464;None;Baseline;64;16;6714794.559102012;2504.2029726977516;2496.2857977575545;100;100
btc;1;17465;PageHinkley;increase_lr_only;16;16;4086749744.107284;59530.66839232337;59158.79310564449;100;100
btc;1;17465;PageHinkley;increase_lr_only;16;32;4054589476.205169;59305.4573901721;58936.12014433134;100;100
btc;1;17465;PageHinkley;increase_lr_only;16;64;4027986923.6545362;59118.5859301404;58751.36205155023;100;100
eth;1;17464;None;Baseline;64;32;6125232.176034483;2388.592150198333;2381.993862809806;100;100
btc;1;17465;PageHinkley;increase_lr_only;32;16;4089838116.6055183;59560.85922347812;59188.47379296808;100;100
eth;1;17464;None;Baseline;64;64;5246259.47865661;2201.8603624878674;2197.3656629785996;100;100
btc;1;17465;PageHinkley;increase_lr_only;32;32;4065851365.9932313;59393.22266508972;59022.74035526193;100;100
btc;1;17465;PageHinkley;increase_lr_only;32;64;4025815278.653588;59111.912903816585;58744.60118493841;100;100
btc;1;17465;PageHinkley;increase_lr_only;64;16;4106845955.221884;59697.09203110921;59322.870617843444;100;100
btc;1;17465;PageHinkley;increase_lr_only;64;32;4077401710.6069765;59491.470533836;59119.57606928571;100;100
btc;1;17465;PageHinkley;increase_lr_only;64;64;4021488627.980461;59098.79946758553;58731.34385932382;100;100
btc;1;17465;PageHinkley;increase_and_decay_lr;16;16;4101109287.5649033;59630.6912647192;59257.67369973745;100;100
btc;1;17465;PageHinkley;increase_and_decay_lr;16;32;4094985148.1451087;59588.049486639495;59215.51862145574;100;100
btc;1;17465;PageHinkley;increase_and_decay_lr;16;64;4068744573.5022063;59404.55325486866;59034.09017440111;100;100
btc;1;17465;PageHinkley;increase_and_decay_lr;32;16;4099626993.3702745;59629.08086100695;59255.917897943196;100;100
btc;1;17465;PageHinkley;increase_and_decay_lr;32;32;4085710511.6594963;59531.86769442399;59159.799649909655;100;100
btc;1;17465;PageHinkley;increase_and_decay_lr;32;64;4071886763.966271;59435.22655207366;59064.2531371223;100;100
btc;1;17465;PageHinkley;increase_and_decay_lr;64;16;4113685791.1411986;59744.74255366836;59369.98161058901;100;100
btc;1;17465;PageHinkley;increase_and_decay_lr;64;32;4098216476.805701;59636.83454526545;59263.29037360012;100;100
btc;1;17465;PageHinkley;increase_and_decay_lr;64;64;4078189321.772312;59496.8638680277;59124.90099415084;100;100
eth;1;17464;ADWIN;increase_lr_only;16;16;6070347.845906408;2377.4748573159472;2370.9507029663255;100;100
eth;1;17464;ADWIN;increase_lr_only;16;32;5476986.174855284;2252.821704093778;2247.7041039517144;100;100
eth;1;17464;ADWIN;increase_lr_only;16;64;4564523.476739813;2042.238801246602;2039.4907570882217;100;100
eth;1;17464;ADWIN;increase_lr_only;32;16;6247424.586543426;2413.079156396034;2406.164650548101;100;100
eth;1;17464;ADWIN;increase_lr_only;32;32;5411489.05175109;2238.6075125086477;2233.683022214164;100;100
eth;1;17464;ADWIN;increase_lr_only;32;64;4362413.661092926;1991.5941086351122;1989.4472169040157;100;100
eth;1;17464;ADWIN;increase_lr_only;64;16;6254348.295150862;2414.474756908267;2407.573047583569;100;100
eth;1;17464;ADWIN;increase_lr_only;64;32;5417015.915840517;2239.9093431528554;2235.010684211117;100;100
eth;1;17464;ADWIN;increase_lr_only;64;64;4299216.422684985;1975.2378625589763;1973.3050410478966;100;100
eth;1;17464;ADWIN;increase_and_decay_lr;16;16;6676730.834680192;2496.8649979482507;2488.9823680039885;100;100
eth;1;17464;ADWIN;increase_and_decay_lr;16;32;5928697.813703576;2348.4655168528793;2342.256207290782;100;100
eth;1;17464;ADWIN;increase_and_decay_lr;16;64;5377732.4186081495;2231.189476266627;2226.3049467105157;100;100
eth;1;17464;ADWIN;increase_and_decay_lr;32;16;6473299.7306749085;2457.613709023816;2450.1930218959633;100;100
eth;1;17464;ADWIN;increase_and_decay_lr;32;32;6277133.254173359;2419.0381195842233;2412.0637426004328;100;100
eth;1;17464;ADWIN;increase_and_decay_lr;32;64;5084693.034645336;2165.5069125316095;2161.3771170782024;100;100
eth;1;17464;ADWIN;increase_and_decay_lr;64;16;6481569.990495689;2459.275167455119;2451.86743307881;100;100
eth;1;17464;ADWIN;increase_and_decay_lr;64;32;6188984.07299569;2401.468395342488;2394.7281594041847;100;100
eth;1;17464;ADWIN;increase_and_decay_lr;64;64;5217007.973843391;2195.33100247354;2190.906425476074;100;100
eth;1;17464;PageHinkley;increase_lr_only;16;16;6157344.381268627;2395.053918023214;2388.3280578221493;100;100
eth;1;17464;PageHinkley;increase_lr_only;16;32;5554069.035738337;2269.5575715907103;2264.2424987485133;100;100
eth;1;17464;PageHinkley;increase_lr_only;16;64;3969174.963966814;1888.3884022644315;1887.3800875993018;100;100
eth;1;17464;PageHinkley;increase_lr_only;32;16;5898659.371439737;2342.2504160612148;2336.143258800743;100;100
eth;1;17464;PageHinkley;increase_lr_only;32;32;5373542.856087225;2230.1802516917996;2225.325993926988;100;100
eth;1;17464;PageHinkley;increase_lr_only;32;64;3788601.4145540865;1838.3320449920302;1837.9011270033761;100;100
eth;1;17464;PageHinkley;increase_lr_only;64;16;5987837.8417456895;2360.603447688304;2354.3156511188376;100;100
eth;1;17464;PageHinkley;increase_lr_only;64;32;5488645.924809626;2255.3056750198025;2250.2130770838944;100;100
eth;1;17464;PageHinkley;increase_lr_only;64;64;4510909.865549569;2028.6368646723165;2026.11051122205;100;100
eth;1;17464;PageHinkley;increase_and_decay_lr;16;16;6503331.878238194;2463.4623180431204;2455.96143172805;100;100
eth;1;17464;PageHinkley;increase_and_decay_lr;16;32;5984222.267064993;2359.8361993330004;2353.4999795150234;100;100
eth;1;17464;PageHinkley;increase_and_decay_lr;16;64;5082779.223840125;2164.5555572288613;2160.422316595372;100;100
eth;1;17464;PageHinkley;increase_and_decay_lr;32;16;6450089.066522774;2453.0677497176225;2445.697112105756;100;100
eth;1;17464;PageHinkley;increase_and_decay_lr;32;32;6090241.494471375;2381.4794993347723;2374.9238101421774;100;100
eth;1;17464;PageHinkley;increase_and_decay_lr;32;64;5148089.059357432;2179.9106024197195;2175.630361346052;100;100
eth;1;17464;PageHinkley;increase_and_decay_lr;64;16;6568536.1682327585;2476.1716964967404;2468.5801582985364;100;100
eth;1;17464;PageHinkley;increase_and_decay_lr;64;32;6197995.565941092;2403.203635557787;2396.4287175250874;100;100
eth;1;17464;PageHinkley;increase_and_decay_lr;64;64;5321423.175352012;2218.169199360116;2213.488590066844;100;100
